StratumCode,Shore,OldStratumCode,DepthIntervalm,Areanmi2,Depth_shallow_m,Depth_deep_m
1010,Offshore_N,1,,2516,27,55
1020,Offshore_N,2,,2078,56,110
1030,Offshore_N,3,,566,111,183
1040,Offshore_N,4,,188,183,
1050,Offshore_N,5,,1475,27,55
1060,Offshore_N,6,,2554,56,110
1070,Offshore_N,7,,514,111,183
1080,Offshore_N,8,,230,183,
1090,Offshore_N,9,,1522,27,55
1100,Offshore_N,10,,2722,56,110
1110,Offshore_N,11,,622,111,183
1120,Offshore_N,12,,176,183,
1130,Offshore_N,13,,2374,56,110
1140,Offshore_N,14,,656,111,183
1150,Offshore_N,15,,230,183,
1160,Offshore_N,16,,2980,56,110
1170,Offshore_N,17,,360,111,183
1180,Offshore_N,18,,172,183,
1190,Offshore_N,19,,2454,27,55
1200,Offshore_N,20,,1221,27,55
1210,Offshore_N,21,,424,56,110
1220,Offshore_N,22,,454,111,183
1230,Offshore_N,23,,1016,56,110
1240,Offshore_N,24,,2569,111,183
1250,Offshore_N,25,,390,27,55
1260,Offshore_N,26,,1014,56,110
1270,Offshore_N,27,,720,111,183
1280,Offshore_N,28,,2249,183,
1290,Offshore_N,29,,3245,183,
1300,Offshore_N,30,,619,183,
1310,Offshore_N,31,,2185,111,183
1320,Offshore_N,32,,655,56,110
1330,Offshore_N,33,,861,56,110
1340,Offshore_N,34,,1766,111,183
1350,Offshore_N,35,,1097,111,183
1360,Offshore_N,36,,4069,183,
1370,Offshore_N,37,,2108,111,183
1380,Offshore_N,38,,2560,111,183
1390,Offshore_N,39,,730,56,110
1400,Offshore_N,40,,578,56,110
1410,Offshore_N,41,,1570,111,183
1420,Offshore_N,42,,156,56,110
1430,Offshore_N,43,,860,111,183
1440,Offshore_N,44,,934,56,110
1450,Offshore_N,45,,150,56,110
1460,Offshore_N,46,,247,56,110
1470,Offshore_N,47,,1159,111,183
1480,Offshore_N,48,,1184,111,183
1490,Offshore_N,49,,198,183,
1610,Offshore_N,61,,1318,27,55
1620,Offshore_N,62,,243,56,110
1630,Offshore_N,63,,86,111,183
1640,Offshore_N,64,,60,183,
1650,Offshore_N,65,,2832,27,55
1660,Offshore_N,66,,555,56,110
1670,Offshore_N,67,,86,111,183
1680,Offshore_N,68,,52,183,
1690,Offshore_N,69,,2433,27,55
1700,Offshore_N,70,,1024,56,110
1710,Offshore_N,71,,281,111,183
1720,Offshore_N,72,,105,183,
1730,Offshore_N,73,,2145,27,55
1740,Offshore_N,74,,1273,56,110
1750,Offshore_N,75,,139,111,183
1760,Offshore_N,76,,60,183,
3010,Inshore_N,1,,44,0,18
3020,Inshore_N,2,,62,18,26
3030,Inshore_N,3,,13,0,9
3040,Inshore_N,4,,26,9,17
3050,Inshore_N,5,,62,18,26
3060,Inshore_N,6,,26,0,9
3070,Inshore_N,7,,35,9,17
3080,Inshore_N,8,,150,18,26
3090,Inshore_N,9,,40,0,9
3100,Inshore_N,10,,48,9,17
3110,Inshore_N,11,,242,18,26
3120,Inshore_N,12,,44,0,9
3130,Inshore_N,13,,88,9,17
3140,Inshore_N,14,,110,18,26
3150,Inshore_N,15,,22,0,9
3160,Inshore_N,16,,62,9,17
3170,Inshore_N,17,,238,18,26
3180,Inshore_N,18,,97,0,9
3190,Inshore_N,19,,216,9,17
3200,Inshore_N,20,,356,18,26
3210,Inshore_N,21,,22,0,9
3220,Inshore_N,22,,154,9,17
3230,Inshore_N,23,,167,18,26
3240,Inshore_N,24,,53,0,9
3250,Inshore_N,25,,172,9,17
3260,Inshore_N,26,,154,18,26
3270,Inshore_N,27,,35,0,9
3280,Inshore_N,28,,220,9,17
3290,Inshore_N,29,,185,18,26
3300,Inshore_N,30,,75,0,9
3310,Inshore_N,31,,299,9,17
3320,Inshore_N,32,,106,18,26
3330,Inshore_N,33,,92,0,9
3340,Inshore_N,34,,167,9,17
3350,Inshore_N,35,,88,18,26
3360,Inshore_N,36,,119,0,9
3370,Inshore_N,37,,312,9,17
3380,Inshore_N,38,,224,18,26
3390,Inshore_N,39,,35,0,9
3400,Inshore_N,40,,176,9,17
3410,Inshore_N,41,,383,18,26
3420,Inshore_N,42,,40,0,9
3430,Inshore_N,43,,172,9,17
3440,Inshore_N,44,,304,18,26
3450,Inshore_N,45,,170,18,26
3460,Inshore_N,46,,273,18,26
3520,Inshore_N,52,,521,9,17
3550,Inshore_N,55,,142,18,26
3560,Inshore_N,56,,57,9,26
3580,Inshore_N,58,,88,9,17
3590,Inshore_N,59,,93,18,26
3600,Inshore_N,60,,126,27,41
3610,Inshore_N,61,,133,42,55
3630,Inshore_N,63,,78,9,17
3640,Inshore_N,64,,90,18,26
3650,Inshore_N,65,,75,27,41
3660,Inshore_N,66,,151,42,55
3890,Inshore_N,89,,59,18,55
3900,Inshore_N,90,,125,56,110
