"V1","ref","spp","taxLvl","species","genus","family","order","class","phylum","kingdom","flag","val.src","tbl.row","mtch.src","tax.src","common","superclass","subphylum","trophicDiet","trophicOrig","Picture","trophicLevel","trophicLevel.se","tax.src2","conflict","website","website2","trohpicLevel"
"77","ACTINIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",45,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",FALSE,NA,NA,NA
"82","ACTIODOTOIDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","AEPINUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",127,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",TRUE,NA,NA,NA
"133","ALEPOCEPHALUS SP.",NA,"bad",NA,"Alepocephalus",NA,"bad",NA,"bad",NA,"bad","m1",110,1,"taxInfo","bad","Osteichthyes","Vertebrata",NA,NA,NA,NA,NA,"getTaxData",TRUE,NA,NA,NA
"135","ALLOPOSUS  SP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",1765,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"217","ANATINELLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",8,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",FALSE,NA,NA,NA
"246","ANOPLODACTYLUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",1998,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"272","ANTIGONIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",50,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",TRUE,NA,NA,NA
"282","AOPLAX XATHIFORMIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","APORRHAIS SP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",309,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",FALSE,NA,NA,NA
"334","ARACHNOPSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",1170,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",FALSE,NA,NA,NA
"335","ARACHOPSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",7,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",TRUE,NA,NA,NA
